2010,19,America-MG,8,13,17,,,,,,,,,,,
2010,17,Athletico-PR,10,11,17,,,,,,,,,,,
2010,13,Atletico-GO,12,12,14,,,,,,,,,,,
2010,15,Atletico-MG,13,6,19,,,,,,,,,,,
2010,20,Avai,7,10,21,,,,,,,,,,,
2010,14,Bahia,11,13,14,,,,,,,,,,,
2010,9,Botafogo,16,8,14,,,,,,,,,,,
2010,18,Ceara,10,9,19,,,,,,,,,,,
2010,1,Corinthians,21,8,9,,,,,,,,,,,
2010,8,Coritiba,16,9,13,,,,,,,,,,,
2010,16,Cruzeiro,11,10,17,,,,,,,,,,,
2010,7,Figueirense,15,13,10,,,,,,,,,,,
2010,4,Flamengo,15,16,7,,,,,,,,,,,
2010,3,Fluminense,20,3,15,,,,,,,,,,,
2010,12,Gremio,13,9,16,,,,,,,,,,,
2010,5,Internacional,16,12,10,,,,,,,,,,,
2010,11,Palmeiras,11,17,10,,,,,,,,,,,
2010,10,Santos,15,8,15,,,,,,,,,,,
2010,6,Sao Paulo,16,11,11,,,,,,,,,,,
2010,2,Vasco,19,12,7,,,,,,,,,,,
2009,5,Athletico-PR,17,9,12,,,,,,,,,,,
2009,16,Atletico-GO,11,9,18,,,,,,,,,,,
2009,13,Atletico-MG,13,6,19,,,,,,,,,,,
2009,15,Avai,11,10,17,,,,,,,,,,,
2009,6,Botafogo,14,17,7,,,,,,,,,,,
2009,12,Ceara,10,17,11,,,,,,,,,,,
2009,3,Corinthians,19,11,8,,,,,,,,,,,
2009,2,Cruzeiro,20,9,9,,,,,,,,,,,
2009,14,Flamengo,9,17,12,,,,,,,,,,,
2009,1,Fluminense,20,11,7,,,,,,,,,,,
2009,19,Goias,8,9,21,,,,,,,,,,,
2009,4,Gremio,17,12,9,,,,,,,,,,,
2009,18,Guarani,8,13,17,,,,,,,,,,,
2009,7,Internacional,16,10,12,,,,,,,,,,,
2009,10,Palmeiras,12,14,12,,,,,,,,,,,
2009,20,Prudente,7,10,21,,,,,,,,,,,
2009,8,Santos,15,11,12,,,,,,,,,,,
2009,9,Sao Paulo,15,10,13,,,,,,,,,,,
2009,11,Vasco,11,16,11,,,,,,,,,,,
2009,17,Vitoria,9,15,14,,,,,,,,10,21,40:04:00,-25
2008,14,Athletico-PR,13,9,16,,,,,,,,,,,
2008,7,Atletico-MG,16,8,14,,,,,,,,,,,
2008,6,Avai,15,12,11,,,,,,,,,,,
2008,15,Botafogo,11,14,13,,,,,,,,,,,
2008,10,Corinthians,14,10,14,,,,,,,,,,,
2008,17,Coritiba,12,9,17,,,,,,,,,,,
2008,4,Cruzeiro,18,8,12,,,,,,,,,,,
2008,1,Flamengo,19,10,9,,,,,,,,,,,
2008,16,Fluminense,11,13,14,,,,,,,,,,,
2008,9,Goias,15,10,13,,,,,,,,,,,
2008,8,Gremio,15,10,13,,,,,,,,,,,
2008,2,Internacional,19,8,11,,,,,,,,,,,
2008,19,Nautico,10,8,20,,,,,,,,,,,
2008,5,Palmeiras,17,11,10,,,,,,,,,,,
2008,11,Prudente,12,13,13,,,,,,,,,,,
2008,18,Santo Andre,11,8,19,,,,,,,,,,,
2008,12,Santos,12,13,13,,,,,,,,,,,
2008,3,Sao Paulo,18,11,9,,,,,,,,,,,
2008,20,Sport,7,10,21,,,,,,,,,,,
2008,13,Vitoria,13,9,16,,,,,,,,,,,
